x_mm,r_mm,x_m,r_m
0.0,60.0,0.0,0.06
0.05202509726387472,59.99990462077119,5.202509726387472e-05,0.05999990462077119
0.10404949508327488,59.99961848436709,0.00010404949508327488,0.05999961848436709
0.15607249402312118,59.99914159463461,0.00015607249402312118,0.05999914159463461
0.20809339466716648,59.99847395798523,0.00020809339466716648,0.059998473957985236
0.26011149762733554,59.99761558339492,0.00026011149762733554,0.05999761558339492
0.3121261035532036,59.99656648240396,0.0003121261035532036,0.059996566482403965
0.364136513141336,59.99532666911687,0.000364136513141336,0.05999532666911687
0.41614202714473914,59.993896160202134,0.00041614202714473914,0.059993896160202134
0.4681419463822001,59.99227497489205,0.0004681419463822001,0.05999227497489205
0.5201355717477651,59.99046313498242,0.0005201355717477651,0.05999046313498242
0.5721222042200658,59.98846066483229,0.0005721222042200658,0.05998846066483229
0.6241011448717693,59.98626759136359,0.0006241011448717693,0.05998626759136359
0.6760716948789602,59.98388394406083,0.0006760716948789602,0.05998388394406083
0.7280331555304803,59.98130975497061,0.0007280331555304803,0.05998130975497061
0.7799848282374483,59.978545058701286,0.0007799848282374483,0.05997854505870129
0.8319260145425028,59.97558989242245,0.0008319260145425028,0.05997558989242245
0.8838560161293224,59.97244429586443,0.0008838560161293224,0.05997244429586443
0.9357741348319237,59.96910831131779,0.0009357741348319237,0.05996910831131779
0.9876796726440845,59.965581983632724,0.0009876796726440845,0.05996558198363272
1.0395719317287389,59.96186536021847,0.0010395719317287389,0.05996186536021847
1.0914502144273448,59.957958491042675,0.0010914502144273447,0.05995795849104268
1.1433138232692375,59.953861428630724,0.0011433138232692375,0.059953861428630725
1.1951620609810671,59.94957422806503,0.001195162060981067,0.05994957422806503
1.2469942304961097,59.945096946984286,0.0012469942304961096,0.059945096946984286
1.2988096349637046,59.9404296455827,0.0012988096349637046,0.059940429645582695
1.3506075777585391,59.93557238660917,0.0013506075777585391,0.05993557238660917
1.4023873624900847,59.93052523536649,0.0014023873624900846,0.05993052523536649
1.4541482930119642,59.925288259710385,0.0014541482930119642,0.059925288259710385
1.505889673431224,59.91986153004869,0.0015058896734312238,0.05991986153004869
1.5576108081178097,59.91424511934035,0.0015576108081178097,0.05991424511934035
1.6093110017138257,59.908439103094445,0.0016093110017138257,0.059908439103094444
1.6609895591429003,59.902443559369175,0.0016609895591429003,0.059902443559369176
1.7126457856195958,59.89625856877085,0.001712645785619596,0.059896258568770844
1.7642789866586517,59.88988421445272,0.0017642789866586517,0.059889884214452724
1.8158884680843923,59.883320582113974,0.0018158884680843923,0.05988332058211397
1.867473536040054,59.87656775999847,0.001867473536040054,0.05987656775999847
1.9190334969970413,59.86962583889363,0.0019190334969970413,0.05986962583889363
1.9705676577643634,59.86249491212918,0.0019705676577643633,0.05986249491212918
2.0220753254978767,59.855175075575914,0.002022075325497877,0.05985517507557592
2.073555807709626,59.847666427644405,0.002073555807709626,0.05984766642764441
2.125008412277113,59.83996906928366,0.002125008412277113,0.05983996906928366
2.176432447452692,59.83208310397979,0.002176432447452692,0.05983208310397979
2.2278272218727717,59.824008637754595,0.002227827221872772,0.0598240086377546
2.2791920445671687,59.815745779164175,0.0022791920445671687,0.059815745779164174
2.3305262249683905,59.80729463929742,0.0023305262249683906,0.05980729463929742
2.3818290729208935,59.79865533177455,0.0023818290729208935,0.059798655331774545
2.433099898690394,59.78982797274557,0.002433099898690394,0.05978982797274557
2.484338012973111,59.78081268088875,0.0024843380129731113,0.05978081268088875
2.5355427269050654,59.771609577408974,0.0025355427269050657,0.05977160957740897
2.586713352071307,59.76221878603612,0.002586713352071307,0.059762218786036124
2.6378492005152134,59.75264043302346,0.002637849200515213,0.05975264043302346
2.688949584747677,59.74287464714586,0.002688949584747677,0.05974287464714586
2.7400138177564175,59.73292155969813,0.0027400138177564176,0.05973292155969813
